stimmkreisnr,jahr,anzahlWahlberechtigte
(101,2023,98320)
(102,2023,86064)
(103,2023,123365)
(104,2023,106590)
(105,2023,95838)
(106,2023,113745)
(107,2023,105532)
(108,2023,90960)
(109,2023,89670)
(110,2023,81837)
(111,2023,124169)
(112,2023,94118)
(113,2023,105133)
(114,2023,99620)
(115,2023,98262)
(116,2023,100244)
(117,2023,120611)
(118,2023,115125)
(119,2023,88380)
(120,2023,126865)
(121,2023,86860)
(122,2023,85893)
(123,2023,117322)
(124,2023,114782)
(125,2023,82521)
(126,2023,83487)
(127,2023,111416)
(128,2023,110999)
(129,2023,102352)
(130,2023,113330)
(131,2023,129001)
(201,2023,90871)
(202,2023,113713)
(203,2023,88537)
(204,2023,125480)
(205,2023,116773)
(206,2023,91847)
(207,2023,102878)
(208,2023,91483)
(209,2023,111662)
(301,2023,112521)
(302,2023,101618)
(303,2023,101714)
(304,2023,125815)
(305,2023,127108)
(306,2023,114383)
(307,2023,79921)
(308,2023,83680)
(401,2023,84945)
(402,2023,84971)
(403,2023,126445)
(404,2023,98960)
(405,2023,89855)
(406,2023,106015)
(407,2023,105179)
(408,2023,123720)
(501,2023,99119)
(502,2023,95738)
(503,2023,95582)
(504,2023,89539)
(505,2023,115412)
(506,2023,126068)
(507,2023,94323)
(508,2023,85416)
(509,2023,129900)
(510,2023,124296)
(511,2023,108614)
(512,2023,98244)
(601,2023,87813)
(602,2023,92664)
(603,2023,96776)
(604,2023,114595)
(605,2023,86288)
(606,2023,98118)
(607,2023,94300)
(608,2023,108232)
(609,2023,117144)
(610,2023,104300)
(701,2023,107797)
(702,2023,109163)
(703,2023,101113)
(704,2023,112661)
(705,2023,117476)
(706,2023,100364)
(707,2023,90085)
(708,2023,92655)
(709,2023,107588)
(710,2023,118666)
(711,2023,97558)
(712,2023,97347)
(713,2023,113141)
